Roanoke-Blacksburg Regional Airport                    Roanoke                     United States               ROA  KROA   37.32051     -79.97038           5    -5
New Stuyahok Airport                                   New Stuyahok                United States               KNW  PANW   59.4499015808  -157.32800293   364    -9
Kotlik Airport                                         Kotlik                      United States               KOT  PFKO   63.0306015015 -163.533004761    15    -9
Kipnuk Airport                                         Kipnuk                      United States               KPN  PAKI   59.9329986572 -164.031005859    11    -9
Perryville Airport                                     Perryville                  United States               KPV  PAPE       55.905998    -159.162993    29    -9
Akutan Seaplane Base                                   Akutan                      United States               KQA  KQA    54.1337704415 -165.778895617     0    -9
St Mary's Airport                                      St Mary's                   United States               KSM  PASM      62.0605011    -163.302002   312    -9
Ketchikan International Airport                        Ketchikan                   United States               KTN  PAKT     55.35559845   -131.7140045    89    -9
Brevig Mission Airport                                 Brevig Mission              United States               KTS  PFKT   65.3312988281 -166.466003418    38    -9
Kasigluk Airport                                       Kasigluk                    United States               KUK  PFKA     60.87440109   -162.5240021    48    -9
King Cove Airport                                      King Cove                   United States               KVC  PAVC   55.1162986755-162.2660064697   155    -9
Kivalina Airport                                       Kivalina                    United States               KVL  PAVL   67.7361984253  -164.56300354    13    -9
Kwigillingok Airport                                   Kwigillingok                United States               KWK  PAGG       59.876499    -163.169005    18    -9
Quinhagak Airport                                      Quinhagak                   United States               KWN  PAQH     59.75510025   -161.8450012    42    -9
Kwethluk Airport                                       Kwethluk                    United States               KWT  PFKW   60.7902984619 -161.444000244    25    -9
Karluk Airport                                         Karluk                      United States               KYK  PAKY   57.5671005249 -154.449996948   137    -9
Koyukuk Airport                                        Koyukuk                     United States               KYU  PFKU   64.8760986328 -157.727005005   149    -9
Lake Hood Seaplane Base                                Anchorage                   United States               LHD  PALH   61.1800003052-149.9720001221    71    -9
Cape Lisburne LRRS Airport                             Cape Lisburne               United States               LUR  PALU     68.87509918   -166.1100006    16    -9
McGrath Airport                                        Mcgrath                     United States               MCG  PAMC     62.95289993   -155.6060028   341    -9
McKinley National Park Airport                         McKinley Park               United States               MCL  PAIN   63.7326011658 -148.910995483  1720    -9
Minchumina Airport                                     Lake Minchumina             United States               MHM  PAMH   63.8860015869-152.3020019531   678    -9
Marshall Don Hunter Sr Airport                         Marshall                    United States               MLL  PADM   61.8642997742 -162.026000977   103    -9
Manley Hot Springs Airport                             Manley Hot Springs          United States               MLY  PAML   64.9975967407 -150.643997192   270    -9
Mountain Village Airport                               Mountain Village            United States               MOU  PAMO   62.0954017639-163.6820068359   337    -9
Merrill Field                                          Anchorage                   United States               MRI  PAMR   61.2135009766-149.8439941406   137    -9
Metlakatla Seaplane Base                               Metakatla                   United States               MTM  PAMM   55.1310005188-131.5780029297     0    -9
Mekoryuk Airport                                       Mekoryuk                    United States               MYU  PAMY   60.3713989258-166.2709960938    48    -9
Chenega Bay Airport                                    Chenega                     United States               NCN  PFCB   60.0773010254 -147.992004395    72    -9
Nikolai Airport                                        Nikolai                     United States               NIB  PAFS   63.0186004639 -154.358001709   441    -9
Nelson Lagoon Airport                                  Nelson Lagoon               United States               NLG  PAOU   56.0074996948-161.1600036621    14    -9
Nightmute Airport                                      Nightmute                   United States               NME  PAGT   60.4710006714-164.7010040283     4    -9
Nondalton Airport                                      Nondalton                   United States               NNL  PANO   59.9802017212-154.8390045166   314    -9
Nuiqsut Airport                                        Nuiqsut                     United States               NUI  PAQT   70.2099990845 -151.005996704    38    -9
Nulato Airport                                         Nulato                      United States               NUL  PANU   64.7293014526 -158.074005127   399    -9
Kobuk Airport                                          Kobuk                       United States               OBU  PAOB   66.9123001099 -156.897003174   137    -9
Nome Airport                                           Nome                        United States               OME  PAOM   64.5121994019-165.4450073242    37    -9
Toksook Bay Airport                                    Toksook Bay                 United States               OOK  PAOO     60.54140091   -165.0870056    59    -9
Northway Airport                                       Northway                    United States               ORT  PAOR      62.9612999   -141.9290009  1715    -9
Robert (Bob) Curtis Memorial Airport                   Noorvik                     United States               ORV  PFNO     66.81790161   -161.0189972    55    -9
Ralph Wien Memorial Airport                            Kotzebue                    United States               OTZ  PAOT     66.88469696    -162.598999    14    -9
Palmer Municipal Airport                               Palmer                      United States               PAQ  PAAQ   61.5948982239-149.0890045166   242    -9
Pilot Point Airport                                    Pilot Point                 United States               PIP  PAPN   57.5803985596 -157.572006226    57    -9
Point Lay LRRS Airport                                 Point Lay                   United States               PIZ  PPIZ     69.73290253   -163.0050049    22    -9
Napaskiak Airport                                      Napaskiak                   United States               PKA  PAPK     60.70289993   -161.7779999    24    -9
